"full_text","clean_text"
"user_id_str","useridstr"
"1.24501965202921E+018","e"
"9.2629826278037E+017","e"
"1.85371275312046E+018","e"
"2503292299",""
"183943921",""
"1.69802163875811E+018","e"
"1.46339579099534E+018","e"
"394675941",""
"2319993973",""
"1.26485613178178E+018","e"
"1.85140813303135E+018","e"
"1.04768022513846E+018","e"
"1.25367202412103E+018","e"
"1.72073615613929E+018","e"
"1968624422",""
"7.1536590448624E+017","e"
"213523698",""
"1.67619467307188E+018","e"
"1.23473449828304E+018","e"
"1.34268426421146E+018","e"
"1.7507374462483E+018","e"
"1.54667120926144E+018","e"
"1.83046684086028E+018","e"
"1.68845390222267E+018","e"
"1.60298999969968E+018","e"
"1.76407755689313E+018","e"
"1.21570438075152E+018","e"
"331383958",""
"3152571817",""
"374948706",""
"1.6062587997107E+018","e"
"4622114476",""
"224431376",""
"1.82679438743696E+018","e"
"398101637",""
"119292066",""
"198747405",""
"1.70873061936113E+018","e"
"1.6996544899792E+018","e"
"1.69970188721661E+018","e"
"360478293",""
"7.00471787788733E+017","e"
"1.08127119934106E+018","e"
"70847259",""
"7.58042845668371E+017","e"
"1.13667787498172E+018","e"
"23343960",""
"1.54240305305933E+018","e"
"112068975",""
"1.84426657413356E+018","e"
"1.60323758543407E+018","e"
"1.22017130891214E+018","e"
"1.60374720628011E+018","e"
"1.67466920266448E+018","e"
"1017571640",""
"9.98978248477298E+017","e"
"1.84034581232658E+018","e"
"1.75485380451917E+018","e"
"1.49294252149158E+018","e"
"1.12784221346183E+018","e"
"166917971",""
"1.2796430134556E+018","e"
"1.35099984930766E+018","e"
"1.74348875975957E+018","e"
"39677695",""
"3447995359",""
"1.54240353428858E+018","e"
"199958165",""
"1.86478118516519E+018","e"
"3107328380",""
"1.54240353428858E+018","e"
"134854007",""
"1.66526942466293E+018","e"
"71474869",""
"543334714",""
"1.44766386273658E+018","e"
"70847259",""
"1.870770273492E+018","e"
"1.50302885208773E+018","e"
"1.60357730152627E+018","e"
"7.97735565223283E+017","e"
"2393506171",""
"2454202386",""
"1.48482571952418E+018","e"
"1.13485120392431E+018","e"
"1.1130178382335E+018","e"
"9.96045728437881E+017","e"
"1.88949245397316E+018","e"
"1.37468616074882E+018","e"
"1.8133822133436E+018","e"
"67537031",""
"1.79092997600046E+018","e"
"1.89066567778424E+018","e"
"15556625",""
"8.71058414364876E+017","e"
"1.45073321007416E+018","e"
"1055302040",""
"1.32464112578576E+018","e"
"1.31861144013617E+018","e"
"8.68856404144119E+017","e"
"1.84935880080304E+018","e"
"1.18903913883554E+018","e"
"1.39395336948025E+018","e"
"1.72704883407578E+018","e"
"1.85297772568402E+018","e"
"1.88505666820946E+018","e"
"27101385",""
"1.59171860285125E+018","e"
"3447995359",""
"1.69927035524292E+018","e"
"1.15968917334058E+018","e"
"116339778",""
"566014930",""
"1.88095423018769E+018","e"
"1.43233419962563E+018","e"
"1.83788523847284E+018","e"
"1.8468357905608E+018","e"
"1.68661321998785E+018","e"
"1.69751500111494E+018","e"
"1.69673274870953E+018","e"
"1.68226642238544E+018","e"
"1.7101352792592E+018","e"
"1.84678773922174E+018","e"
"1.70114393993866E+018","e"
"1.70260741898174E+018","e"
"1.70181360508224E+018","e"
"1.81528274952959E+018","e"
"1.70977183975992E+018","e"
"1.68740402838343E+018","e"
"1.70008560637702E+018","e"
"1.69173432743089E+018","e"
"1.84387250590122E+018","e"
"1.69894558876163E+018","e"
"1.6974491820624E+018","e"
"1.78379191691785E+018","e"
"1.70109751080959E+018","e"
"1.71157549116413E+018","e"
"1.68843938441946E+018","e"
"1.7011148404364E+018","e"
"1.6865979415771E+018","e"
"1.7018134510045E+018","e"
"1.69931114421176E+018","e"
"1.70868751246047E+018","e"
"1.7090416088666E+018","e"
"1.68701278967052E+018","e"
"1.68229393806828E+018","e"
"1.69097107348202E+018","e"
"1.70007055350649E+018","e"
"1.7026375042882E+018","e"
"1.70144302210448E+018","e"
"1.48696832579222E+018","e"
"1.69750252943174E+018","e"
"1.70255272498916E+018","e"
"1.70102451029894E+018","e"
"1.83234482382481E+018","e"
"1.69096673758665E+018","e"
"1.70979208082094E+018","e"
"1.69675423106642E+018","e"
"1.70004211999248E+018","e"
"1.68921336872767E+018","e"
"1.70403844180851E+018","e"
"1.70216711857651E+018","e"
"1.699282065597E+018","e"
"1.68875588694744E+018","e"
"1.69389128829342E+018","e"
"1.69891312601468E+018","e"
"1.72799949760597E+018","e"
"1.70260341863503E+018","e"
"1.69644210850753E+018","e"
"1.69750179978635E+018","e"
"1.69930860625942E+018","e"
"1.69168293045062E+018","e"
"1.68446613607796E+018","e"
"1.68922389655232E+018","e"
"1.89116758805669E+018","e"
"105085302",""
"1.33955097491072E+018","e"
"2890776397",""
"179236989",""
"179236989",""
"1.70221353700605E+018","e"
"1.31484061937888E+018","e"
"1.5939030757055E+018","e"
"18129942",""
"3457715294",""
"704952205",""
"3948042733",""
"1.65012209303882E+018","e"
"1.147101363916E+018","e"
"1.84426657413356E+018","e"
"9.9777908692679E+017","e"
"1.15835581951298E+018","e"
"8.71058414364876E+017","e"
"2734971967",""
"1.58022233130937E+018","e"
"1.06190279610913E+018","e"
"24893875",""
"1.3458982594458E+018","e"
"119292066",""
"1.62257050155731E+018","e"
"1.73620919438538E+018","e"
"1.45169268874761E+018","e"
"101047840",""
"1.82065882136016E+018","e"
"9.81080085229793E+017","e"
"7.93152528829389E+017","e"
"1.16632734420781E+018","e"
"4597496354",""
"1.60554189518622E+018","e"
"4597496354",""
"1.70266526058567E+018","e"
"1.17274013145685E+018","e"
"81851486",""
"1.42389866607964E+018","e"
"1.63074980573467E+018","e"
"1.83630664521289E+018","e"
"1.58022233130937E+018","e"
"234744541",""
"8.5941646100933E+017","e"
"32826249",""
"1.6288778732423E+018","e"
"1.01665563529374E+018","e"
"1240275427",""
"386472405",""
"397673651",""
"397673651",""
"2821018616",""
"1.79461663586269E+018","e"
"24893875",""
"23343960",""
"1.04030696410065E+018","e"
"1.5431961552278E+018","e"
"7.97735565223283E+017","e"
"1.24057952813872E+018","e"
"1.68694619781748E+018","e"
"1.7000910224146E+018","e"
"1.71123133081265E+018","e"
"1.70183392457677E+018","e"
"1.71157873145698E+018","e"
"1.69097588208372E+018","e"
"1.83091081086622E+018","e"
"1.71166991927491E+018","e"
"1.69858520217885E+018","e"
"1.69937339510286E+018","e"
"1.69891544755359E+018","e"
"1.84314833642733E+018","e"
"1.83339196143025E+018","e"
"1.70180791891461E+018","e"
"1.84421363531036E+018","e"
"1.70257289472609E+018","e"
"1.56923357625178E+018","e"
"1.69672058633938E+018","e"
"1.8193038754864E+018","e"
"1.84175035534192E+018","e"
"1.7025355632226E+018","e"
"1.54290963363097E+018","e"
"1.70112949905913E+018","e"
"7.10447703650488E+017","e"
"202579164",""
"1.70257382803835E+018","e"
"1.69676545780897E+018","e"
"1.84719710036032E+018","e"
"1.68951921722855E+018","e"
"1.68735412310318E+018","e"
"1.81598203383296E+018","e"
"1.69384331225877E+018","e"
"1.7010816570535E+018","e"
"1.70185783188729E+018","e"
"1.69709364472827E+018","e"
"1.48696863904383E+018","e"
"1.68877860517279E+018","e"
"1.69099453630529E+018","e"
"1.68664078092726E+018","e"
"1.70188468556624E+018","e"
"1.7018421883832E+018","e"
"1.68697010809746E+018","e"
"1.70180483200755E+018","e"
"1.70217928590426E+018","e"
"1.68369467298272E+018","e"
"1.70940076742849E+018","e"
"1.70258918138048E+018","e"
"1.68225904392945E+018","e"
"1.70259977913679E+018","e"
"1.69497458053502E+018","e"
"1.68188754472274E+018","e"
"1.68232141000448E+018","e"
"1.8438435257059E+018","e"
"1.70253212257634E+018","e"
"1.68441005358202E+018","e"
"1.68729519666353E+018","e"
"1.81422010670214E+018","e"
"1.8435865361448E+018","e"
"1.68994292322232E+018","e"
"1.69458937807992E+018","e"
"1.69422174489739E+018","e"
"1.68841631842769E+018","e"
"1.69928447011184E+018","e"
"1.70005425610208E+018","e"
"1.69604412705258E+018","e"
"1.7022189901632E+018","e"
"1.70905754818652E+018","e"
"1.6938450288112E+018","e"
"1.70402094668277E+018","e"
"1.70220430681926E+018","e"
"1.68331969050303E+018","e"
"1.69455021139233E+018","e"
"1.67290796699827E+018","e"
"1.70407251734083E+018","e"
"1.57874101336736E+018","e"
"1.68881580024394E+018","e"
"1.69237486199231E+018","e"
"1.69891142239328E+018","e"
"1.69604701420583E+018","e"
"7.68220955952881E+017","e"
"1.83227446388449E+018","e"
"80559922",""
"1.69166456995621E+018","e"
"1.69130579384775E+018","e"
"345252211",""
"1.82066241492654E+018","e"
"1.32422451713309E+018","e"
"1.69928238892338E+018","e"
"1.46665130810287E+018","e"
"1.68625960688722E+018","e"
"79852526",""
"79852526",""
"1.2091963963744E+018","e"
"1.2091963963744E+018","e"
"1.351686244628E+018","e"
"1.78161811225906E+018","e"
"260686783",""
"1.69796966985511E+018","e"
"194909134",""
"1.84259392721776E+018","e"
"9.12527605370297E+017","e"
"193163123",""
"1.68271845905728E+018","e"
"800313547",""
"153667051",""
"179236989",""
"153667051",""
"153667051",""
"278021722",""
"1.78300929325789E+018","e"
"1.39073162941334E+018","e"
"1.57938660891023E+018","e"
"1.53451034241993E+018","e"
"9.3369664930972E+017","e"
"563224297",""
"1.54893628787669E+018","e"
"2283528067",""
"1.541060230083E+018","e"
"927298741",""
"1.68602417075108E+018","e"
"1.7450180845143E+018","e"
"1.7450180845143E+018","e"
"1.84349576319376E+018","e"
"380798737",""
"43333910",""
"1.59955976671541E+018","e"
"4564565058",""
"176733069",""
"338361036",""
"77764779",""
"1.03188432361856E+018","e"
"1.82552637420939E+018","e"
"1.74725386004403E+018","e"
"98570330",""
"267795457",""
"1.7719617279635E+018","e"
"1.59427477056848E+018","e"
"1019026466",""
"1.43378162691213E+018","e"
"1.23646359494802E+018","e"
"8.99597703058817E+017","e"
"1.63835075383541E+018","e"
"1.83264937626904E+018","e"
"1.68845009622309E+018","e"
"1.68227423632768E+018","e"
"1.6934739169275E+018","e"
"1.70145174539274E+018","e"
"1.6990174470877E+018","e"
"1.7014388853379E+018","e"
"1.70006823873299E+018","e"
"1.6912858804416E+018","e"
"1.81417104893983E+018","e"
"1.68695302672736E+018","e"
"1.70217145369169E+018","e"
"1.70254301659736E+018","e"
"1.68228364767894E+018","e"
"1.69934046753893E+018","e"
"1.70109431674645E+018","e"
"1.68992124736969E+018","e"
"1.6989577314731E+018","e"
"1.71158232483045E+018","e"
"1.70224052530129E+018","e"
"1.83234701325152E+018","e"
"1.7000653902805E+018","e"
"1.6993045594691E+018","e"
"1.69171603039207E+018","e"
"1.71121385207824E+018","e"
"1.70009028563893E+018","e"
"1.7011451233532E+018","e"
"1.68663278593793E+018","e"
"1.69388715196304E+018","e"
"1.81528589391542E+018","e"
"1.87654009399091E+018","e"
